Timestamp (millisec since midnight today),Test time,pwm_duty_limb0_fwd,pwm_duty_limb0_rev,pwm_duty_limb1_fwd,pwm_duty_limb1_rev,unconstrained_pwm_duty_lim0_fwd,unconstrained_pwm_duty_lim0_rev,unconstrained_pwm_duty_lim1_fwd,unconstrained_pwm_duty_lim1_rev,u_setpoint_limb0,u_setpoint_limb1,temp_limit,Bendlabs_0,Bendlabs_1,MCPtemp_0,MCPtemp_1,MCPtemp_2,MCPtemp_3,tagid_x_101,tagid_y_101,tagid_x_102,tagid_y_102,tagid_x_103,tagid_y_103,tagid_x_104,tagid_y_104,tagid_x_105,tagid_y_105,tagid_x_106,tagid_y_106,tagid_x_107,tagid_y_107,tagid_x_108,tagid_y_108,tagid_x_109,tagid_y_109
62570493,2.201,0.25,0,0,0,0.25,0,0,0,0.25,0,115,0,0,31,30.94,34.25,30.38,33.7116029321318,54.1453293377386,109.718586192759,70.4970021591656,167.727114354938,99.1688674756202,219.631497309261,137.67697430201,274.032150151025,187.265852405011,329.151837506111,241.758061091607,376.037852682864,287.620430064184,412.871325021657,329.144467070735,452.994522356817,372.280109265603
62570693,2.4,0.25,0,0,0,0.25,0,0,0,0.25,0,115,0,0,31,30.94,34.25,30.38,33.5947262488473,54.1336382107893,109.515872189936,70.3256946302668,167.330586880958,99.3512514392509,218.547361252512,138.73134385501,272.068372244662,189.615264272813,325.872771344668,245.294938354348,372.6711129936,291.220738688623,408.862908875913,333.131144031663,448.349544306373,376.75959780723
62570894,2.601,0.25,0,0,0,0.25,0,0,0,0.25,0,115,0,0,31,32.25,34.13,30.56,33.7061126253472,54.1417129712627,109.39145668594,70.5890189441249,166.780973635092,100.416076135882,216.801644866888,141.270693570186,268.215227015004,193.840105012989,320.066077195757,251.352955974557,364.225671990976,299.768794672401,398.65913863787,343.229955254409,436.325267928486,388.397618572423
62571095,2.802,0.25,0,0,0,0.25,0,0,0,0.25,0,115,0,0,31,32.25,34.13,30.56,33.6753999553128,54.2236841006672,109.323128870901,70.7038492725305,166.257473541066,100.955866953703,215.572512538447,142.70948904005,265.719956331773,196.426841084881,316.282863359023,254.984102850648,359.57745801646,304.203571025825,393.107248211526,348.158997736024,430.040482599176,394.012091835456
62571294,3.002,0.2,0,0,0,0.2,0,0,0,0.2,0,115,0,0,31,32.25,34.13,30.56,33.6491818556349,54.2145797000147,109.278905308248,70.9107706347042,165.745468814398,102.011699715504,213.640268825634,144.984606043866,261.920700316553,200.390834371676,310.426790681187,260.697880278231,351.767615679622,311.274072542517,388.27584672392,352.373531004067,418.865975685494,403.499217843397
62571494,3.202,0.2,0,0,0,0.2,0,0,0,0.2,0,115,0,0,30.81,34.13,34.31,30.44,33.7230088991967,54.181706152203,109.306154535913,70.8925967296134,165.61615942846,102.052054217391,213.149902124618,145.363471232782,261.010496764864,201.192670618453,308.872221899359,261.805319864472,349.998687562662,312.594963429687,381.663703856416,357.853690840831,416.646821708265,405.252022769284
62571694,3.403,0.2,0,0,0,0.2,0,0,0,0.2,0,115,0,0,30.81,34.13,34.31,30.44,33.7567485119265,54.1574061427252,109.208654507843,71.0235876837621,165.084096702919,102.675809968524,211.819445224914,146.862868321222,258.186238718374,203.85177750172,304.643645214849,265.688759105269,344.321715703747,317.518769318266,374.950805440538,363.575815978169,408.449747256705,411.710356276551
62571894,3.601,0.2,0,0,0,0.2,0,0,0,0.2,0,115,0,0,31,36.38,34.25,30.44,33.5219071624418,54.132371422372,109.058108574506,70.9777476563028,164.842712377678,102.937690010366,211.146096288745,147.480709207518,257.045848499943,204.913024937658,302.894886711061,267.239858324292,342.289867935998,319.35150669239,372.556355325415,365.571164251889,405.863157708535,413.90261112586
62572094,3.802,0.2,0,0,0,0.2,0,0,0,0.2,0,115,0,0,31,36.38,34.25,30.44,33.5902057219213,54.1289204062182,109.018010299464,71.0011086737642,164.622644983601,103.225456878699,210.440136152467,148.271121521911,255.37416272765,206.440035569115,300.278805790463,269.38768156574,338.803685721401,322.206493051549,369.393382145503,367.888841458604,400.642958155368,417.864954721848
62572294,4.002,0.1,0,0,0,0.1,0,0,0,0.1,0,115,0,0,31,36.38,34.25,30.44,33.662071091605,54.2154811228477,108.911961556479,71.1173606824177,164.415203540062,103.663475851619,209.849840258595,149.086399660523,254.168457442191,207.533770478087,298.59596751288,270.78618571683,336.772788827103,323.747196419999,365.870751675576,370.503750463206,398.257144653012,419.529179238014
62572494,4.203,0.1,0,0,0,0.1,0,0,0,0.1,0,115,0,0,30.94,38.88,34.19,30.44,33.6650367782668,54.0973059850543,108.924581330891,71.0718924852159,164.444426112613,103.600277943366,209.91897860098,149.030867751565,254.229356369822,207.503683196552,298.608848837881,270.796159193019,336.651292534444,323.8616025151,365.757581641901,370.706385531437,397.901887527741,419.858414040864
