Simulation time (sec),kappa_bar_phi_00,kappa_bar_phi_01,kappa_bar_phi_10,kappa_bar_phi_11,
0.0,0.0,-25.484192725011173,0.0,-2.887838874179556,
1.5,0.0,-26.406705482715264,0.0,-3.227192232406009,
1.5598802395209581,0.0,-27.02746776949193,0.0,-2.499306784788727,
1.6197604790419162,0.0,-28.86650232752749,0.0,-1.7794338687546636,
1.6796407185628743,0.0,-31.184753552955975,0.0,-2.4955936861388084,
1.7395209580838324,0.0,-34.1136544133583,0.0,-2.487061667348774,
1.7994011976047903,0.0,-35.81641635337687,0.0,-1.770577809433981,
1.8592814371257484,0.0,-38.56873101962358,0.0,-2.4464993513573585,
1.9191616766467066,0.0,-40.19295530173611,0.0,-1.707939102422694,
1.9790419161676647,0.0,-43.45123540066972,0.0,-9.860849205451853,
2.038922155688623,0.0,-43.518625882530834,0.0,-1.3479662802034387,
2.0988023952095807,0.0,-45.835504211096534,0.0,-2.0785146220226216,
2.158682634730539,0.0,-46.31972507130966,0.0,-1.3573439162816137,
2.218562874251497,0.0,-47.76055940702327,0.0,-3.8039660014473506,
2.2784431137724552,0.0,-48.26277934127424,0.0,-1.6719841495442884,
2.338323353293413,0.0,-48.26277934127424,0.0,-1.6719841495442884,
2.3982035928143715,0.0,-48.26277934127424,0.0,-1.6719841495442884,
2.4580838323353293,0.0,-48.26277934127424,0.0,-1.6719841495442884,
2.5179640718562872,0.0,-48.26277934127424,0.0,-1.6719841495442884,
2.5778443113772456,0.0,-47.32262081272022,0.0,-0.27243401923371957,
2.637724550898204,0.0,-47.314979931856335,0.0,-1.6964705150593982,
2.697604790419162,0.0,-46.14789980684119,0.0,-2.138351231794262,
2.7574850299401197,0.0,-45.65905485634017,0.0,-1.4275057923761187,
2.817365269461078,0.0,-44.72659586615319,0.0,-1.4313058286736204,
2.877245508982036,0.0,-44.82711020111773,0.0,-2.159672821004341,
2.937125748502994,0.0,-43.83463204822857,0.0,-2.6641779365782705,
2.997005988023952,0.0,-42.825132430913975,0.0,-4.113543424957704,
3.0568862275449105,0.0,-42.340743462277075,0.0,-4.8217433612691725,
3.1167664670658684,0.0,-42.380269822833874,0.0,-6.947181759166838,
3.1766467065868262,0.0,-41.86822159237828,0.0,-9.097523729575308,
3.2365269461077846,0.0,-40.82155377559663,0.0,-11.921851321096566,
3.2964071856287425,0.0,-40.81069464270548,0.0,-14.004841331513985,
3.3562874251497004,0.0,-40.28604741959887,0.0,-16.099437341613832,
3.4161676646706587,0.0,-39.48956657929133,0.0,-18.51591133562847,
3.476047904191617,0.0,-38.96412254463802,0.0,-20.559231562006207,
3.535928143712575,0.0,-38.68245462426085,0.0,-21.22769134992556,
3.595808383233533,0.0,-38.13010716519814,0.0,-23.245235625464304,
3.655688622754491,0.0,-37.644563584479954,0.0,-23.912404114762417,
3.715568862275449,0.0,-37.668235798264945,0.0,-25.248733304498575,
3.7754491017964074,0.0,-37.13561311122397,0.0,-25.914995356657233,
3.8353293413173652,0.0,-37.13561311122397,0.0,-25.914995356657233,
3.8952095808383236,0.0,-36.596770294167364,0.0,-25.280195609987356,
3.9550898203592815,0.0,-36.596770294167364,0.0,-25.280195609987356,
4.014970059880239,0.0,-36.596770294167364,0.0,-25.280195609987356,
4.074850299401198,0.0,-36.05201309643195,0.0,-24.648946764537467,
4.134730538922156,0.0,-35.956786864437795,0.0,-24.026588597628244,
4.1946107784431135,0.0,-35.68171528698457,0.0,-23.069593117129706,
4.254491017964072,0.0,-35.83235672982802,0.0,-22.416955706865256,
4.31437125748503,0.0,-35.27089986008831,0.0,-21.75408025522053,
4.374251497005988,0.0,-35.81031551765271,0.0,-22.407432075139297,
4.434131736526946,0.0,-36.3428436316162,0.0,-24.363022173698383,
4.494011976047904,0.0,-39.04278928327333,0.0,-27.552067746836947,
4.553892215568862,0.0,-41.61752436423201,0.0,-30.626233209946175,
4.613772455089821,0.0,-44.12531717105747,0.0,-33.641623894920286,
4.673652694610778,0.0,-46.094915903056226,0.0,-34.47418479327172,
4.733532934131737,0.0,-47.52023165877642,0.0,-36.22616690480737,
4.793413173652695,0.0,-49.841468689516994,0.0,-36.771747673226514,
4.8532934131736525,0.0,-50.7369768177043,0.0,-37.91242935094267,
4.913173652694611,0.0,-52.54922278895938,0.0,-38.467581916400505,
4.973053892215569,0.0,-52.54922278895938,0.0,-38.467581916400505,
5.032934131736527,0.0,-53.838649031730554,0.0,-39.013851513970415,
5.092814371257485,0.0,-53.838649031730554,0.0,-39.013851513970415,
5.152694610778443,0.0,-55.101361762486555,0.0,-39.561478063059035,
5.212574850299401,0.0,-55.101361762486555,0.0,-39.561478063059035,
5.27245508982036,0.0,-55.101361762486555,0.0,-39.561478063059035,
5.332335329341317,0.0,-55.52799901629299,0.0,-38.99839899087621,
5.392215568862275,0.0,-55.12175066205041,0.0,-38.44279537943062,
5.452095808383234,0.0,-54.71913895827523,0.0,-37.88889881093891,
5.5119760479041915,0.0,-54.71913895827523,0.0,-37.88889881093891,
5.57185628742515,0.0,-53.89136100584977,0.0,-36.75895908236756,
5.631736526946108,0.0,-53.051594642105144,0.0,-35.61139061689414,
5.691616766467066,0.0,-52.19481821069619,0.0,-34.446739683377714,
5.751497005988024,0.0,-51.76096977235619,0.0,-33.85950674731067,
5.811377245508982,0.0,-50.88904547055177,0.0,-32.67820605244063,
5.87125748502994,0.0,-49.55805225232959,0.0,-30.878608427812935,
5.931137724550898,0.0,-48.195604883443636,0.0,-29.050310317721348,
5.991017964071856,0.0,-47.75524139069028,0.0,-27.17120687729539,
